idGd,type,text
1,TRIGGER,{R}
2,TRIGGER,When an opponent draws one or more cards or does [RESUPPLY_T] —
5,TRIGGER,When another Robot joins your Expeditions —
8,TRIGGER,When I'm sacrificed —
11,TRIGGER,When I go to Reserve from the Expedition zone —
12,TRIGGER,When I leave the Expedition zone —
16,TRIGGER,When you play a Permanent —
19,TRIGGER,When a non-token Character other than me joins your Expeditions —
20,TRIGGER,At Noon —
22,TRIGGER,{H}
23,TRIGGER,[]
24,TRIGGER,{J}
26,TRIGGER,When you roll one or more dice —
27,TRIGGER,When you play a Spell —
30,OUTPUT,Target opponent draws a card.
32,OUTPUT,I am [DEFENDER].
33,OUTPUT,I gain [ASLEEP].
34,OUTPUT,I gain [FLEETING].
35,OUTPUT,I can't be played if you have less than six Mana Orbs.
39,OUTPUT,Each player draws a card.
42,OUTPUT,"You may target a Character other than me, it loses [FLEETING]."
46,OUTPUT,I am [SEASONED].
47,OUTPUT,I am [TOUGH_1].
48,OUTPUT,"If you would roll one or more dice, instead roll that many dice plus one and ignore the roll of your choice."
49,OUTPUT,"If you would roll a die, you may add 1 to its result. (Choose after you see the result.)"
51,OUTPUT,[RESUPPLY].
52,OUTPUT,You may return a Spell from your Reserve to your hand.
54,OUTPUT,I am [TOUGH_2].
56,OUTPUT,I gain 1 boost.
61,OUTPUT,You may return a card other than me from your Reserve to your hand.
64,OUTPUT,Create an [ORDIS_RECRUIT] Soldier token in my Expedition.
69,OUTPUT,"You may target a Character, it gains [ASLEEP]."
70,OUTPUT,"You may target a Character, it gains [FLEETING]."
73,OUTPUT,Each Character you control other than me is [TOUGH_1].
75,OUTPUT,Create an [ORDIS_RECRUIT] Soldier token in your other Expedition (the one I'm not in).
77,OUTPUT,Target Character gains 1 boost.
80,OUTPUT,[SABOTAGE].
81,OUTPUT,Create an [ORDIS_RECRUIT] Soldier token in target Expedition.
82,OUTPUT,I gain 1 boost per card in your Reserve.
84,OUTPUT,"Your Characters other than me have: ""{R} I gain 1 boost."""
86,OUTPUT,I gain 1 boost per card in your Landmarks.
88,OUTPUT,"You may target a Character other than me, it loses [FLEETING] and gains 1 boost."
89,OUTPUT,Each player sacrifices a Character.
90,OUTPUT,Draw a card.
97,OUTPUT,I gain 2 boosts.
100,OUTPUT,Target Character gains [ANCHORED].
101,OUTPUT,Target Character in your other Expedition (the one I'm not in) gains 2 boosts.
102,OUTPUT,Pay {2} less for the next Permanent you play this Afternoon.
