idGd,type,text
796,OUTPUT,[SABOTAGE] any number of Characters with total {V} less than or equal to my {V} stat.
797,TRIGGER,When a {D} ability is activated on your turn —
798,TRIGGER,When you discard a card from your hand —
799,OUTPUT,I am [GIGANTIC].  When you discard a card from your hand or your Reserve — I gain 1 boost.
801,TRIGGER,When an Animal other than me joins your Expeditions —
804,TRIGGER,When you put a card from your hand in Reserve —
805,TRIGGER,When I leave an [ASCENDED_S] Expedition —
808,TRIGGER,When my Expedition moves forward [DUE_TO_ASCENSION] —
810,TRIGGER,When one or more of your [ASCENDED_P] Expeditions moves forward —
811,OUTPUT,"[RESUPPLY]. If you put a Character in Reserve this way, it gains 1 boost."
812,OUTPUT,"Reveal the top card of your deck. If it's a Character, draw it; if not, [RESUPPLY_LOW] it."
813,OUTPUT,"[SABOTAGE_LOW], otherwise [SABOTAGE_LOW] a card with Reserve Cost {2} or less."
814,OUTPUT,[SABOTAGE] a Character with {V} less than or equal to mine.
815,OUTPUT,[SABOTAGE] a Character with {V} less than or equal to mine.
816,OUTPUT,"[SABOTAGE]. If you discarded a card this way, create an [ORDIS_RECRUIT] Soldier token in target Expedition controlled by an opponent."
817,OUTPUT,"[SABOTAGE]. If you discarded a card this way, create a [WOOLLYBACK] Animal token in target Expedition controlled by an opponent."
818,OUTPUT,I am [TOUGH_1].  When any player passes — You may play a card.
819,OUTPUT,"Create a [MANA_MOTH] Illusion token in target Expedition, otherwise I gain 1 boost."
820,OUTPUT,Create a [WOOLLYBACK] Animal token in my Expedition.
821,OUTPUT,"Create a [WOOLLYBACK] Animal token in target Expedition, it gains [ANCHORED]."
822,OUTPUT,Create a [WOOLLYBACK] Animal token in the Expedition facing me.
823,OUTPUT,Create an [ORDIS_RECRUIT] Soldier token in each of your [ASCENDED_P] Expeditions.
824,OUTPUT,Create an [ORDIS_RECRUIT] Soldier token in my Expedition.
825,OUTPUT,Create an [ORDIS_RECRUIT] Soldier token in target Expedition I'm not in.
826,OUTPUT,Discard a card from your hand.
827,OUTPUT,Discard it.
828,OUTPUT,Discard two cards from your hand.
830,OUTPUT,Draw one card per [COMPLETED_LOW] Feat you control.
831,OUTPUT,"Draw a card, otherwise create an [AEROLITH] token in your Landmarks."
832,OUTPUT,"Draw a card, then discard a card from your hand."
833,OUTPUT,"Draw three cards, then discard a card from your hand."
835,OUTPUT,"Draw two cards, then discard a card from your hand."
836,OUTPUT,Draw two cards.
837,OUTPUT,Each of your Expeditions [ASCENDS].
838,OUTPUT,"Each player discards their Reserve, then [RESUPPLIES]."
839,OUTPUT,Exchange its boosts with target Character in play or in Reserve.
840,OUTPUT,You may have me activate my {D} ability.
841,OUTPUT,"Each of your Expeditions [ASCENDS], otherwise my Expedition [ASCENDS]."
843,OUTPUT,I gain 1 boost per [ASCENDED_S] Expedition you control.
844,OUTPUT,I gain 1 boost per Animal other than me in your Expeditions.
845,OUTPUT,I gain 1 boost per Feat in your Landmarks.
846,OUTPUT,"I gain 1 boost, otherwise discard the top card of your deck."
847,OUTPUT,"I gain 1 boost, otherwise discard the top two cards of your deck."
